data_file,Texture,F_M1_M2,p_M1_M2,F_M2_M1,p_M2_M1,M1 stationarity p,M2 stationarity p
BrahmsConcertPart1_File4_c1_c2_GrangerOutput.txt,H,0.89194140673438,0.634315242557994,2.37135338820592,0.0000795881167613541,0.01,0.01
BrahmsConcertPart1_File4_c1_c3_GrangerOutput.txt,H,1.34571734521598,0.106700420577296,1.18394438752361,0.233032591346027,0.01,0.01
BrahmsConcertPart1_File4_c1_c4_GrangerOutput.txt,H,1.45695795330565,0.0577513777148551,1.29330209410564,0.13956295833126,0.01,0.01
BrahmsConcertPart1_File4_c1_c5_GrangerOutput.txt,H,0.913602996947584,0.600985693516427,2.42639876770303,0.0000505159296101951,0.01,0.01
BrahmsConcertPart1_File4_c2_c3_GrangerOutput.txt,H,1.61734887931655,0.02171546887176,1.25772566353696,0.166097872032005,0.01,0.01
BrahmsConcertPart1_File4_c2_c4_GrangerOutput.txt,H,0.696691284485586,0.886572867692339,1.98353825667664,0.00168613158482868,0.01,0.01
BrahmsConcertPart1_File4_c2_c5_GrangerOutput.txt,H,0.925260632368818,0.582957232534365,2.26115904797392,0.000194930974139533,0.01,0.01
BrahmsConcertPart1_File4_c3_c4_GrangerOutput.txt,H,1.28338133736777,0.146603918792921,1.76024457255234,0.00839778288914166,0.01,0.01
BrahmsConcertPart1_File4_c3_c5_GrangerOutput.txt,H,0.495125028003208,0.989504687039939,0.734041530860305,0.848670362725669,0.01,0.01
BrahmsConcertPart1_File4_c4_c5_GrangerOutput.txt,H,0.503627551383273,0.987957980769438,1.3348190108471,0.112955928917812,0.01,0.01
